Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Smestad Ii;SN18850;02.1991;22,8
Smestad Ii;SN18850;03.1991;66,1
Smestad Ii;SN18850;04.1991;18,6
Smestad Ii;SN18850;05.1991;2,9
Smestad Ii;SN18850;06.1991;100,9
Smestad Ii;SN18850;07.1991;116
Smestad Ii;SN18850;08.1991;23,8
Smestad Ii;SN18850;09.1991;68,3
Smestad Ii;SN18850;10.1991;66,5
Smestad Ii;SN18850;11.1991;115,5
Smestad Ii;SN18850;12.1991;20,9
Smestad Ii;SN18850;01.1992;20,3
Smestad Ii;SN18850;02.1992;22,5
Smestad Ii;SN18850;03.1992;60,8
Smestad Ii;SN18850;04.1992;58,2
Smestad Ii;SN18850;05.1992;29,6
Smestad Ii;SN18850;06.1992;16,5
Smestad Ii;SN18850;07.1992;78,9
Smestad Ii;SN18850;08.1992;150,8
Smestad Ii;SN18850;09.1992;66
Smestad Ii;SN18850;10.1992;36,4
Smestad Ii;SN18850;11.1992;141,9
Smestad Ii;SN18850;12.1992;46,1
Smestad Ii;SN18850;01.1993;35,2
Smestad Ii;SN18850;02.1993;33,8
Smestad Ii;SN18850;03.1993;4,3
Smestad Ii;SN18850;04.1993;30
Smestad Ii;SN18850;05.1993;52,5
Smestad Ii;SN18850;06.1993;34
Smestad Ii;SN18850;07.1993;105
Smestad Ii;SN18850;08.1993;100,9
Smestad Ii;SN18850;09.1993;25,8
Smestad Ii;SN18850;10.1993;126,9
Smestad Ii;SN18850;11.1993;106,9
Smestad Ii;SN18850;12.1993;66,9
Smestad Ii;SN18850;01.1994;63,1
Smestad Ii;SN18850;02.1994;19,5
Smestad Ii;SN18850;03.1994;57,9
Smestad Ii;SN18850;04.1994;79,4
Smestad Ii;SN18850;05.1994;2
Smestad Ii;SN18850;06.1994;47,7
Smestad Ii;SN18850;07.1994;12,4
Smestad Ii;SN18850;08.1994;138,3
Smestad Ii;SN18850;09.1994;87,4
Smestad Ii;SN18850;10.1994;44,7
Smestad Ii;SN18850;11.1994;40,6
Smestad Ii;SN18850;12.1994;73,6
Smestad Ii;SN18850;01.1995;109,3
Smestad Ii;SN18850;02.1995;84,5
Smestad Ii;SN18850;03.1995;38,1
Smestad Ii;SN18850;04.1995;37,7
Smestad Ii;SN18850;05.1995;30,8
Smestad Ii;SN18850;06.1995;97,3
Smestad Ii;SN18850;07.1995;89,2
Smestad Ii;SN18850;08.1995;19,2
Smestad Ii;SN18850;09.1995;76,7
Smestad Ii;SN18850;10.1995;48,3
Smestad Ii;SN18850;11.1995;24,5
Smestad Ii;SN18850;12.1995;6,8
Smestad Ii;SN18850;01.1996;42,3
Smestad Ii;SN18850;02.1996;31,6
Smestad Ii;SN18850;03.1996;0,5
Smestad Ii;SN18850;04.1996;23,8
Smestad Ii;SN18850;05.1996;67,9
Smestad Ii;SN18850;06.1996;45
Smestad Ii;SN18850;07.1996;43
Smestad Ii;SN18850;08.1996;53,9
Smestad Ii;SN18850;09.1996;96,9
Smestad Ii;SN18850;10.1996;99
Smestad Ii;SN18850;11.1996;91,3
Smestad Ii;SN18850;12.1996;40,2
Smestad Ii;SN18850;01.1997;19,9
Smestad Ii;SN18850;02.1997;68,1
Smestad Ii;SN18850;03.1997;7,6
Smestad Ii;SN18850;04.1997;1,6
Smestad Ii;SN18850;05.1997;87
Smestad Ii;SN18850;06.1997;63,9
Smestad Ii;SN18850;07.1997;28,2
Smestad Ii;SN18850;08.1997;57,9
Smestad Ii;SN18850;09.1997;80,6
Smestad Ii;SN18850;10.1997;66,9
Smestad Ii;SN18850;11.1997;55
Smestad Ii;SN18850;12.1997;41
Smestad Ii;SN18850;01.1998;38,2
Smestad Ii;SN18850;02.1998;16,2
Smestad Ii;SN18850;03.1998;44,1
Smestad Ii;SN18850;04.1998;82
Smestad Ii;SN18850;05.1998;21,2
Smestad Ii;SN18850;06.1998;120,9
Smestad Ii;SN18850;07.1998;89,4
Smestad Ii;SN18850;08.1998;84,7
Smestad Ii;SN18850;09.1998;71
Smestad Ii;SN18850;10.1998;99,2
Smestad Ii;SN18850;11.1998;39,2
Smestad Ii;SN18850;12.1998;38,9
Smestad Ii;SN18850;01.1999;90,6
Smestad Ii;SN18850;02.1999;41,5
Smestad Ii;SN18850;03.1999;104,6
Smestad Ii;SN18850;04.1999;50,1
Smestad Ii;SN18850;05.1999;38,2
Smestad Ii;SN18850;06.1999;111
Smestad Ii;SN18850;07.1999;70,4
